,n_neighbors,metric,weights,f1_mean_score,f1_std_score,mean_time
0,15,euclidean,distance,0.7953273270292663,0.03262822703244448,0.0006414992468697685
1,15,manhattan,distance,0.7888816683467351,0.04738132247863265,0.0006714037486485072
2,15,euclidean,distance,0.7858201744482887,0.045388379911042755,0.0006831714085170201
3,21,minkowski,uniform,0.7394639525101694,0.04247692541573533,0.0009427751813616071
4,21,minkowski,uniform,0.7347635939025615,0.036584289290710906,0.0006866455078125
5,21,minkowski,uniform,0.7256289436234428,0.03358624450927766,0.0006545952388218471
6,11,minkowski,uniform,0.724337378160941,0.03324665669841492,0.0006848403385707311
7,11,minkowski,uniform,0.7227276976895899,0.035982520026186626,0.0010317393711635045
8,11,euclidean,uniform,0.7224720535929553,0.040906634549316145,0.0007862874439784459
9,5,minkowski,uniform,0.7168330558479669,0.039402525547571135,0.0007564170019967216
