,n_neighbors,metric,f1_mean_score,f1_std_score,mean_time
0,15,minkowski,0.7338388608376337,0.06556039540804011,0.0007216848176101159
1,21,minkowski,0.7337413119790523,0.06186660021603217,0.001002994076959018
2,21,euclidean,0.7332465177392933,0.06648138795240302,0.0007314106513713969
3,15,euclidean,0.7324357632446132,0.06142143120956278,0.0007679133579648774
4,15,minkowski,0.7307862798455469,0.06891042731118026,0.0009280566511483028
5,5,euclidean,0.7270445197868959,0.04918782800600922,0.0007611389817862675
6,11,euclidean,0.7265126750124427,0.04799906415750372,0.0009919774943384632
7,21,manhattan,0.7235218690574969,0.06319472270237485,0.0009206821178567821
8,11,euclidean,0.7233265360950567,0.04911284197695918,0.000805706813417632
9,11,minkowski,0.7209577616561507,0.060765645348958286,0.0007938763190960062
10,11,manhattan,0.7207949269086269,0.0642033180344361,0.0006918085032495959
11,7,euclidean,0.7193420347655199,0.045890006127371215,0.0007247431524868669
12,5,manhattan,0.7124614688750729,0.07080470982921333,0.0009478618358743602
13,5,manhattan,0.7120032311370924,0.06520300067845,0.0006777335857522899
14,7,manhattan,0.7113763136379307,0.06853893465674633,0.0007544221549198545
