,penalty,solver,C,f1_mean_score,f1_std_score,mean_time
0,l2,liblinear,100.0,0.7296245976404175,0.06884854439804163,0.0019877039153000406
1,l1,liblinear,0.1,0.7271717817897556,0.06771736362579953,0.0035446676714666957
2,l2,liblinear,10.0,0.7267633296798972,0.07214085732051916,0.001966131144556506
3,l2,liblinear,10.0,0.7266181732452955,0.07864998418102546,0.0019876956939697266
4,l2,liblinear,100.0,0.7265182876623002,0.07440951917423085,0.0020464288777318493
5,l1,liblinear,100.0,0.726462127054578,0.05722889792863019,0.023117986218682652
6,l2,liblinear,10.0,0.7264002699980217,0.07487757594272462,0.0022669167354189114
7,l1,liblinear,0.1,0.7253989151481026,0.06729658004064068,0.0031898103911301187
8,l1,liblinear,100.0,0.7250018453245639,0.08311913692561644,0.021274402223784347
9,l2,liblinear,100.0,0.7248181450243479,0.0682483441985169,0.0021180448860957705
10,l1,liblinear,100.0,0.7246278262033504,0.08547889603451184,0.02434892489992339
11,l2,liblinear,100.0,0.7240768659652786,0.06458600972481003,0.0025655483377390893
12,l2,liblinear,0.1,0.7047090173371392,0.07829503108040307,0.0014581433657942146
13,l2,liblinear,0.01,0.7026801998119196,0.07289632813186103,0.0011607202990301724
14,l1,liblinear,0.01,0.0,0.0,0.0006312419628274852
