,n_estimators,criterion,max_features,f1_mean_score,f1_score_std,mean_time
0,200,gini,log2,0.8118759912625063,0.04378494089985385,0.41153975895472933
1,500,log_loss,0.2,0.8113084081428842,0.02641049178466262,1.0620852027620589
2,300,log_loss,,0.8089590516680261,0.038777061312326604,1.540933438709804
3,50,log_loss,0.2,0.8072725257648733,0.03787071573550449,0.10163440023149763
4,100,entropy,0.2,0.8051748668264807,0.04289567923730903,0.19228223391941615
5,500,entropy,,0.8035625298637458,0.04761970437990069,2.5948212317058017
6,100,entropy,,0.8033382350707926,0.03955601324091533,0.4957827159336635
7,300,log_loss,,0.8015903539377776,0.03573367511737664,1.5552973576954432
8,50,entropy,,0.799249882039445,0.03749719737309081,0.2493661982672555
9,100,gini,sqrt,0.7987778715000814,0.042048524729976465,0.19987879480634416
