,n_estimators,criterion,f1_mean_score,f1_std_score,mean_time
0,300,entropy,0.8104302540898348,0.03923656622120693,1.364945280140844
1,100,gini,0.8092870628291378,0.04495529894016713,0.39662008449949065
2,50,entropy,0.8082969962681652,0.04626546280227467,0.22977084126965752
3,50,entropy,0.8082287751663194,0.03958206708834685,0.22610486786941003
4,200,entropy,0.8081032404209607,0.03636700853594178,0.9020716157452814
5,100,gini,0.8076542217426476,0.033647586687447974,0.3875775830499057
6,200,entropy,0.8071032592398824,0.043038602257289955,0.9061975725765886
7,100,entropy,0.8065996832557258,0.03753477057811988,0.45173735454164704
8,100,gini,0.8064174831317579,0.03289762794237769,0.3895275592803955
9,100,gini,0.8062819636929762,0.03407633944434021,0.38793528491053086
10,100,gini,0.8058815229071652,0.041581180043106604,0.39054825388152026
11,200,gini,0.8058608305160854,0.0334389897827709,0.7783556724416798
12,300,gini,0.8052806208987748,0.042811460371649866,1.1623733043670654
13,50,gini,0.8025471654307129,0.03465471518387011,0.19327967742393756
14,50,log_loss,0.7996484029846184,0.04728981032479501,0.2275882918259193
