,n_estimators,criterion,max_features,f1_mean_score,f1_std_score,mean_time
0,50,entropy,log2,0.8187923826500946,0.029843295209954792,0.11467111110687256
1,300,log_loss,sqrt,0.817692823087411,0.028349765937034678,0.7854223591940743
2,500,gini,sqrt,0.817291515293112,0.038552802027027315,1.1158045189721244
3,200,gini,sqrt,0.8155859080592086,0.027111956318570433,0.43971184321812223
4,100,log_loss,log2,0.8133804047490786,0.03289155997386914,0.2514744315828596
5,50,entropy,log2,0.8125839166063081,0.053041519687254284,0.11355652127947126
6,300,gini,sqrt,0.8123666618122084,0.03185991352214613,0.6973944050925118
7,300,entropy,log2,0.8121235602383082,0.04631310099505246,0.7428675549370902
8,50,log_loss,log2,0.8076884556648667,0.048715373698228044,0.11960858958108085
9,50,gini,,0.8034130644931361,0.06111694434210591,0.21165692806243896
