,n_estimators,criterion,max_features,f1_mean_score,f1_score_std,mean_time
0,300,log_loss,0.2,0.8974358974358975,0.0,0.8515253067016602
1,300,gini,0.2,0.875,0.0,0.598848819732666
2,50,gini,sqrt,0.8356164383561645,0.0,0.1248619556427002
3,100,entropy,sqrt,0.8333333333333334,0.0,0.2599806785583496
4,300,entropy,0.2,0.8322147651006713,0.0,0.6551964282989502
5,300,gini,0.2,0.8266666666666665,0.0,0.6064803600311279
6,300,log_loss,log2,0.8235294117647058,0.0,0.7703714370727539
7,300,gini,log2,0.8137931034482759,0.0,0.7068479061126709
8,10,log_loss,sqrt,0.8115942028985507,0.0,0.0270843505859375
9,10,log_loss,,0.8111888111888113,0.0,0.05649137496948242
10,10,log_loss,,0.8108108108108109,0.0,0.0543818473815918
11,300,entropy,0.2,0.8085106382978724,0.0,0.6612515449523926
12,300,gini,log2,0.8028169014084507,0.0,0.6880128383636475
13,100,gini,sqrt,0.794701986754967,0.0,0.2387065887451172
14,300,entropy,sqrt,0.7724137931034482,0.0,0.8225300312042236
15,10,entropy,0.2,0.7375886524822697,0.0,0.023396015167236328
16,10,log_loss,0.2,0.7375886524822697,0.0,0.02578258514404297
17,50,log_loss,,0.7222222222222223,0.0,0.2692713737487793
18,10,entropy,sqrt,0.7183098591549296,0.0,0.02778339385986328
19,10,gini,0.2,0.7092198581560283,0.0,0.021823406219482422
